TIPO DIA,AÑO,MES,DIA,HORA,DEMANDA,Total Residencial,Total No Residencial,total_usuarios,ALLSKY_SFC_SW_DWN_pond,ALLSKY_KT_pond,T2M_pond,RH2M_pond,PRECTOTCORR_pond,CLRSKY_SFC_SW_DWN_pond,T2MWET_pond,Tasa de cambio representativa del mercado (TRM),IPP,IPC,FECHA
VIERNES,2023,2,24,13,1432.10399,2498546.0,277051.0,2775597.0,791.0281110442186,0.6261265990703982,25.0962792869426,55.0716412433073,0.0514748754952538,952.3757551726708,20.243826232698765,4853.9,181.43,130.4,2023-02-24 13:00:00
SABADO,2023,2,25,13,1330.17985,2498546.0,277051.0,2775597.0,804.9158942454543,0.636254211256173,25.10011857629188,54.53029179308091,0.0237245212471407,965.6702260594748,20.170443897294888,4849.65,181.43,130.4,2023-02-25 13:00:00
DOMINGO,2023,2,26,13,1157.31125,2498546.0,277051.0,2775597.0,778.9417976312844,0.6167319210966146,25.14137402511964,55.13229415509528,0.0312700655030251,947.606769938143,20.303141050375828,4849.65,181.43,130.4,2023-02-26 13:00:00
LUNES,2023,2,27,13,1427.23905,2498546.0,277051.0,2775597.0,767.7062419796533,0.6034737355603137,23.912785422379404,61.03965088591752,0.0071612881841275,928.0119318330436,19.893686583462944,4849.65,181.43,130.4,2023-02-27 13:00:00
MARTES,2023,2,28,13,1467.08158,2498546.0,277051.0,2775597.0,733.8796491349428,0.5806234478564432,24.440768368030373,61.41899063877069,0.0008549692192346,939.375176756568,20.47909037587229,4808.14,181.43,130.4,2023-02-28 13:00:00
MIERCOLES,2023,3,1,13,1452.62244,2506136.0,277430.0,2783566.0,652.1228452711379,0.5121514920070155,23.800340811031603,61.05077744159829,0.0474021991934087,916.122702016047,19.79853729712175,4814.11,181.36,131.77,2023-03-01 13:00:00
JUEVES,2023,3,2,13,1449.82305,2506136.0,277430.0,2783566.0,677.0744289878522,0.5354418109719691,24.27372915533528,62.21645284142715,0.0097632066205723,940.3086634769932,20.390291302595305,4848.78,181.36,131.77,2023-03-02 13:00:00
VIERNES,2023,3,3,13,1452.92372,2506136.0,277430.0,2783566.0,627.4548799633277,0.498436052890429,22.60994710741545,73.6624992186282,0.1304132684477393,926.290760395119,20.117094130334973,4855.83,181.36,131.77,2023-03-03 13:00:00
SABADO,2023,3,4,13,1337.43623,2506136.0,277430.0,2783566.0,668.9651038380265,0.5210366738205596,23.48642888295086,68.01756142300918,0.2017322887260442,942.1948530051022,20.303034560703782,4780.89,181.36,131.77,2023-03-04 13:00:00
DOMINGO,2023,3,5,13,1120.94442,2506136.0,277430.0,2783566.0,485.1148432298713,0.3829740950995952,21.402148786843924,77.46245402120876,0.1380918900432035,933.357077658658,19.31625916899402,4780.89,181.36,131.77,2023-03-05 13:00:00
LUNES,2023,3,6,13,1368.98862,2506136.0,277430.0,2783566.0,610.9441450032081,0.4799022045821798,21.2455027723431,76.19037178568786,0.3924116187652817,968.9374325954548,19.03141529606268,4780.89,181.36,131.77,2023-03-06 13:00:00
MARTES,2023,3,7,13,1438.09364,2506136.0,277430.0,2783566.0,377.515451643683,0.2992875182409901,20.888118435129616,76.2663937158307,1.742158321376249,951.5318808355902,18.71309637709327,4734.42,181.36,131.77,2023-03-07 13:00:00
MIERCOLES,2023,3,8,13,1366.30363,2506136.0,277430.0,2783566.0,392.5377429168196,0.3088831484505846,21.50021065783962,74.42405509695118,0.5591859039807211,934.0933135589383,19.10474307057925,4744.95,181.36,131.77,2023-03-08 13:00:00
JUEVES,2023,3,9,13,1330.26442,2506136.0,277430.0,2783566.0,331.6127032626494,0.2610637074888829,20.33253309962832,76.67579908649553,0.213052221502921,934.3351537093068,18.18658814987681,4755.59,181.36,131.77,2023-03-09 13:00:00
VIERNES,2023,3,10,13,1372.54155,2506136.0,277430.0,2783566.0,565.2098300094195,0.4453762008876384,23.22517758874767,64.26042466390236,0.267450360436936,964.6537099928652,19.6334496110385,4748.61,181.36,131.77,2023-03-10 13:00:00
SABADO,2023,3,11,13,1250.31869,2506136.0,277430.0,2783566.0,413.09695085009656,0.3238849950028129,20.75131016473114,67.88020312433764,0.1285720475102799,947.6156505216692,17.664516792488484,4748.14,181.36,131.77,2023-03-11 13:00:00
DOMINGO,2023,3,12,13,1081.57444,2506136.0,277430.0,2783566.0,453.15400286898176,0.3534734258142253,21.245841097354976,69.94433041645141,0.3424851611206632,944.7593640711232,18.37719996220676,4748.14,181.36,131.77,2023-03-12 13:00:00
LUNES,2023,3,13,13,1285.20569,2506136.0,277430.0,2783566.0,571.3416196526326,0.4479258009330477,20.34681588293577,76.19671238260563,0.3081138546741841,950.1805655335636,18.130534451132107,4748.14,181.36,131.77,2023-03-13 13:00:00
MARTES,2023,3,14,13,1363.64062,2506136.0,277430.0,2783566.0,448.11371991179664,0.3494264263897461,20.93934218912,71.59816756635195,0.4195439842274263,953.1101641994478,18.267283294162954,4769.76,181.36,131.77,2023-03-14 13:00:00
MIERCOLES,2023,3,15,13,1326.05744,2506136.0,277430.0,2783566.0,345.57676212455533,0.2704613650260134,19.67775939927417,77.07782433755837,0.2118113348129701,945.7716696819834,17.58881824968404,4736.03,181.36,131.77,2023-03-15 13:00:00
JUEVES,2023,3,16,13,1349.0108,2506136.0,277430.0,2783566.0,509.72699122995465,0.3975172063461042,21.29270945255115,71.13006231934145,0.9195656327171692,975.1650403403404,18.56518857824819,4835.51,181.36,131.77,2023-03-16 13:00:00
VIERNES,2023,3,17,13,1339.72443,2506136.0,277430.0,2783566.0,458.9447481108765,0.3629246261809492,23.68934452425414,60.60205725317812,0.5603237322197498,951.4677803148912,19.63504140731709,4866.5,181.36,131.77,2023-03-17 13:00:00
SAALF,2023,3,18,13,1258.08785,2506136.0,277430.0,2783566.0,555.3220478048662,0.4284323813410567,21.37419935076086,67.0219899869448,0.3934409602646389,946.8643351406074,18.18276667770765,4824.25,181.36,131.77,2023-03-18 13:00:00
DOALF,2023,3,19,13,1073.23805,2506136.0,277430.0,2783566.0,642.1796535630914,0.4980390549388805,22.540556451688232,66.1618402868838,0.0732088263759508,946.1575786886316,19.23032742532421,4824.25,181.36,131.77,2023-03-19 13:00:00
LF,2023,3,20,13,1122.43625,2506136.0,277430.0,2783566.0,699.6857020526907,0.5457379670537721,25.22721663865704,52.500827158400405,0.0005232460807467,943.6523841647728,19.995802829895176,4824.25,181.36,131.77,2023-03-20 13:00:00
MADLF,2023,3,21,13,1385.76207,2506136.0,277430.0,2783566.0,746.8873271336121,0.583978328518167,25.320767659182504,54.63194892810159,0.0008737784554057,935.3864544580584,20.39781250022453,4824.25,181.36,131.77,2023-03-21 13:00:00
MIERCOLES,2023,3,22,13,1397.65592,2506136.0,277430.0,2783566.0,597.9972418149955,0.4715944798865915,22.63876194421113,70.00424538523606,0.084662950330619,918.0129734628172,19.71128136713841,4804.29,181.36,131.77,2023-03-22 13:00:00
JUEVES,2023,3,23,13,1392.98634,2506136.0,277430.0,2783566.0,523.2129962393562,0.4089475191175636,22.80725850581592,61.76738196615421,0.023080095819535,929.0965412819382,18.9128148676913,4776.09,181.36,131.77,2023-03-23 13:00:00
