TIPO DIA,AÑO,MES,DIA,HORA,Total Residencial,Total No Residencial,total_usuarios,ALLSKY_SFC_SW_DWN_pond,ALLSKY_KT_pond,T2M_pond,RH2M_pond,PRECTOTCORR_pond,CLRSKY_SFC_SW_DWN_pond,T2MWET_pond,Tasa de cambio representativa del mercado (TRM),IPP,IPC,FECHA,DEMANDA
DOMINGO,2022,6,5,19,2448985.0,273876.0,2722861.0,0.0,-999.0,17.87337927275759,96.02712549410344,0.2583746838343933,0.0,17.55911883860395,3771.63,167.21,119.31,2022-06-05 19:00:00,1116.96857
JUEVES,2023,9,28,23,2539229.0,281148.0,2820377.0,-999.0,-999.0,18.563816652880096,95.8767526752629,1.06889213392394,-999.0,18.22572420637383,4093.6,177.12,136.11,2023-09-28 23:00:00,1097.44486
JUEVES,2018,3,22,17,2143815.0,204343.0,2348158.0,37.27806572641194,0.1575574471564519,19.70537985518862,91.63962557459932,0.086031855607672,91.75150371482668,18.974802781584547,2850.69,113.68,98.45,2018-03-22 17:00:00,1272.69
VIERNES,2022,11,18,15,2479665.0,275922.0,2755587.0,251.561298416635,0.3731480552056603,19.550146970500293,89.8108216289306,0.4829921356139364,450.62299610573,18.68282463228343,5022.03,177.36,124.46,2022-11-18 15:00:00,1324.02561
DOMINGO,2018,11,25,16,2187533.0,208582.0,2396115.0,126.07793161430064,0.3310997677490437,20.40885025134436,91.92412958893875,0.3961034800082634,207.64029278227463,19.723452605571936,3223.95,117.02,99.7,2018-11-25 16:00:00,980.26
LUNES,2019,5,27,16,2226665.0,211384.0,2438049.0,286.105306739118,0.5492903136893474,20.80331273489581,82.2861520994861,0.1049616394092161,324.2210190812408,19.23135317624871,3358.84,120.19,102.44,2019-05-27 16:00:00,1237.22
MARTES,2021,8,10,15,2382454.0,269004.0,2651458.0,432.6604210664472,0.5110779842637523,25.70483133053588,48.26478684934855,0.0154740184457004,580.7561757568855,19.63197463056176,3988.27,139.38,109.62,2021-08-10 15:00:00,1365.33722
LUNES,2022,3,28,21,2430212.0,272412.0,2702624.0,0.0,-999.0,17.731131071136794,99.02543774494713,0.319443877505713,0.0,17.66694503563944,3785.66,160.65,116.26,2022-03-28 21:00:00,1214.24462
SABADO,2021,6,19,2,2367233.0,267865.0,2635098.0,0.0,-999.0,16.84701990969596,95.30822951176768,0.2617967870644659,0.0,16.462680374695744,3753.77,136.81,108.78,2021-06-19 02:00:00,788.35981
JUEVES,2021,2,4,21,2348937.0,266815.0,2615752.0,0.0,-999.0,18.953765024360106,87.41042508617024,0.0152023280494481,0.0,17.85858081347161,3522.57,128.19,106.58,2021-02-04 21:00:00,1244.66712
